1,Deadpool,"Action,Adventure,Comedy"
2,The Twilight Saga: Breaking Dawn - Part 2,"Adventure,Drama,Fantasy"
3,The Twilight Saga: Breaking Dawn - Part 1,"Adventure,Drama,Fantasy"
4,Maleficent,"Action,Adventure,Family"
5,Cinderella,"Drama,Family,Fantasy"
6,Beauty and the Beast,"Family,Fantasy,Musical"
7,Bridesmaids,"Comedy,Romance"
8,Fifty Shades of Grey,"Drama,Romance,Thriller"
9,La La Land,"Comedy,Drama,Music"
10,Les Misérables,"Drama,Musical,Romance"
11,The Great Gatsby,"Drama,Romance"
12,Ride Along,"Action,Comedy,Crime"
13,Silver Linings Playbook,"Comedy,Drama,Romance"
14,The Legend of Tarzan,"Action,Adventure,Drama"
15,The Vow,"Drama,Romance"
16,The Fault in Our Stars,"Drama,Romance"
17,Fifty Shades Darker,"Drama,Romance"
18,The Bourne Legacy,"Action,Adventure,Mystery"
19,Trainwreck,"Comedy,Drama,Romance"
20,Just Go with It,"Comedy,Romance"
21,Gnomeo & Juliet,"Animation,Comedy,Family"
22,Passengers,"Adventure,Drama,Romance"
23,Think Like a Man,"Comedy,Romance"
24,Tammy,"Comedy,Romance"
25,Crazy, Stupid, Love.,"Comedy,Drama,Romance"
26,The Other Woman,"Comedy,Romance"
27,Immortals,"Action,Drama,Fantasy"
28,Zookeeper,"Comedy,Family,Romance"
29,Hugo,"Adventure,Drama,Family"
30,Safe Haven,"Drama,Romance,Thriller"
31,No Strings Attached,"Comedy,Romance"
32,This Is 40,"Comedy,Romance"
33,Warm Bodies,"Comedy,Horror,Romance"
34,Think Like a Man Too,"Comedy,Romance"
35,Pitch Perfect,"Comedy,Music,Romance"
36,Hope Springs,"Comedy,Drama,Romance"
37,The Adjustment Bureau,"Romance,Sci-Fi,Thriller"
38,The Lucky One,"Drama,Romance"
39,My Big Fat Greek Wedding 2,"Comedy,Family,Romance"
40,Water for Elephants,"Drama,Romance"
41,The Secret Life of Walter Mitty,"Adventure,Comedy,Drama"
